phase,execution_status,count,planned_denominator
P2_PREPARATION,SUCCESS,252,252
P2_PREPARATION,TIMEOUT,0,252
P2_PREPARATION,OOM,0,252
P2_PREPARATION,OPTIMIZER_FAILURE,0,252
P2_PREPARATION,NUMERICAL_FAILURE,0,252
P2_PREPARATION,ZERO_P_FEAS,0,252
P2_PREPARATION,ZERO_P_OPT,0,252
P2_PREPARATION,RESOURCE_CENSORED,0,252
P3_COMPARISON,SUCCESS,252,252
P3_COMPARISON,TIMEOUT,0,252
P3_COMPARISON,OOM,0,252
P3_COMPARISON,OPTIMIZER_FAILURE,0,252
P3_COMPARISON,NUMERICAL_FAILURE,0,252
P3_COMPARISON,ZERO_P_FEAS,0,252
P3_COMPARISON,ZERO_P_OPT,0,252
P3_COMPARISON,RESOURCE_CENSORED,0,252
